text,label,idx
How did serfdom develop in and then leave Russia ?,2,0
What films featured the character Popeye Doyle ?,1,1
How can I find a list of celebrities ' real names ?,2,2
What fowl grabs the spotlight after the Chinese Year of the Monkey ?,1,3
What is the full form of .com ?,0,4
What contemptible scoundrel stole the cork from my lunch ?,3,5
What team did baseball 's St. Louis Browns become ?,3,6
What is the oldest profession ?,3,7
What are liver enzymes ?,2,8
Name the scar-faced bounty hunter of The Old West .,3,9
When was Ozzy Osbourne born ?,5,10
Why do heavier objects travel downhill faster ?,2,11
Who was The Pride of the Yankees ?,3,12
Who killed Gandhi ?,3,13
What is considered the costliest disaster the insurance industry has ever faced ?,1,14
What sprawling U.S. state boasts the most airports ?,4,15
What did the only repealed amendment to the U.S. Constitution deal with ?,2,16
How many Jews were executed in concentration camps during WWII ?,5,17
What is `` Nine Inch Nails '' ?,2,18
What is an annotated bibliography ?,2,19
What is the date of Boxing Day ?,5,20
What articles of clothing are tokens in Monopoly ?,1,21
Name 11 famous martyrs .,3,22
What 's the Olympic motto ?,2,23
What is the origin of the name ` Scarlett ' ?,2,24
What 's the second-most-used vowel in English ?,1,25
Who was the inventor of silly putty ?,3,26
What is the highest waterfall in the United States ?,4,27
Name a golf course in Myrtle Beach .,1,28
Which two states enclose Chesapeake Bay ?,4,29
What does the abbreviation AIDS stand for ?,0,30
What does a spermologer collect ?,1,31
Which company that manufactures video-game hardware sells the `` super system '' ?,3,32
How many Community Chest cards are there in Monopoly ?,5,33
What do Mormons believe ?,2,34
When did the neanderthal man live ?,5,35
In what religion was Isis the nature goddess ?,1,36
Where do the adventures of `` The Swiss Family Robinson '' take place ?,4,37
What relative of the racoon is sometimes known as the cat-bear ?,1,38
How can I register my website in Yahoo for free ?,2,39
What was cash-conscious Colonel Edwin L. Drake the first to drill ?,1,40
How many inches over six feet is the Venus de Milo ?,5,41
How do they find or choose witnesses to an execution ?,2,42
What 1920s cowboy star rode Tony the Wonder Horse ?,3,43
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,1,44
What ISPs exist in the Caribbean ?,3,45
How do you ask a total stranger out on a date ?,2,46
What weapon is the mythological character Apollo most proficient with ?,1,47
What country do the Galapagos Islands belong to ?,4,48
What is ethology ?,2,49
Who was the prophet of the Muslim people ?,3,50
Where did the term `` 86ed '' come from ?,2,51
Who is Snoopy 's arch-enemy ?,3,52
What is the nature of learning ?,2,53
What 's the only color Johnny Cash wears on stage ?,1,54
What 's the term for a young fox ?,1,55
What U.S. state lived under six flags ?,4,56
What is the Kashmir issue ?,2,57
Where is the Loop ?,4,58
What does `` extended definition '' mean and how would one write a paper on it ?,2,59
What country 's capital is Tirana ?,4,60
What is titanium ?,2,61
Who do Herb and Tootsie live next door to ?,3,62
What is a caldera ?,2,63
Why do people get calluses ?,2,64
What are the names of the tourist attractions in Reims ?,4,65
What are Cushman and Wakefield known for ?,2,66
What body of water does the Danube River flow into ?,4,67
Who is the founder of Scientology ?,3,68
What does the six-footed Musca domestica become when it enters a house ?,1,69
What is the history of skateboarding ?,2,70
Who starred in Singing in the Rain and The Singing Nun ?,3,71
How do I make fuel bricks from recycled newspaper ?,2,72
What 19th-century painter died in the Marquesas Islands ?,3,73
The corpus callosum is in what part of the body ?,1,74
How do I log on to home page at Headquarters U.S. European Command ?,2,75
"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",4,76
What is Nebraska 's most valuable resource ?,1,77
How many species of the Great White shark are there ?,5,78
What is the origin of head lice ?,2,79
What is the nickname for the state of Mississippi ?,4,80
What was the first domesticated bird ?,1,81
How many villi are found in the small intestine ?,5,82
What country did King Wenceslas rule ?,4,83
What is a fear of shadows ?,1,84
Who were the five Marx brothers ?,3,85
In which year was New Zealand excluded from the ANZUS alliance ?,5,86
When did CNN begin broadcasting ?,5,87
What causes the body to shiver in cold temperatures ?,2,88
What are bear and bull markets ?,2,89
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,1,90
What is `` dew point '' ?,2,91
What is the meaning of Jesus ?,2,92
What company 's logo is a `` W '' in a circle ?,3,93
What is the definition of a cascade ?,2,94
