text,label,idx
"49ers QB Rattay questionable for Sunday San Francisco, CA (Sports Network) - San Francisco 49ers starting quarterback Tim Rattay is listed as questionable for Sunday #39;s game against the Chicago Bears with a forearm injury.",1,0
Button driven on by lure of second place JENSON Button will settle for second best in tomorrows Belgian Grand Prix at Spa- Francorchamps. The Englishman concedes Ferrari are out of reach and has set his sights on helping BAR overhaul Renault for ,1,1
"Peterson carries perfect Sooners WACO, Texas -- Adrian Peterson ran for 240 yards, including three second-half touchdowns, and No. 2 Oklahoma got the lopsided win it needed for the BCS standings by beating Baylor, 35-0, yesterday.",1,2
Olympic Wrap: Golden Oldies Take Center Stage  ATHENS (Reuters) - Golden oldies struck gold at the  Olympics Friday with German canoeist Birgit Fischer and Polish  walker Robert Korzeniowski showing a clean pair of heels to  younger rivals.,1,3
"India strikes first blow Zaheer Khan struck the first blow, removing Australia opener Matthew Hayden India in the third Test test in Nagpur. Hayden and Justin Langer put up a strong partnership, taking the score to 67 when a superb ",1,4
"Venus Williams Beats Serena in Exhibition (AP) AP - Venus Williams defeated injured sister Serena 6-4, 7-5 in an exhibition match Thursday night.",1,5
"Hughes to take Bowen with him to Blackburn New Blackburn Rovers boss Mark Hughes is expected to take his Wales assistant, Mark Bowen, with him to Ewood Park. Bowen was pushed out of Birmingham City over the summer, but now is set to gain a return to Premiership action at Rovers.",1,6
Too Good to Be True Baseball's back in Washington. So with that award comes an acceptance letter to highlight those efforts that made this dream come to fruition.,1,7
"Can #39;t Hackett After one of the worst losses the Jets have had in a long time, a Same Old Jets loss, LaMont Jordan stood there at the podium and tried to take the fall for everybody.",1,8
"Eagles ink Brown to six year deal PHILADELPHIA (Ticker) - The Philadelphia Eagles showed their confidence in Sheldon Brown on Thursday, signing the cornerback to a six-year contract extension.",1,9
New Blackburn manager Hughes to stay on with Wales for two games Mark Hughes took over as manager of Blackburn Rovers on Friday but will still lead Wales in its next two World Cup qualifying games.,1,10
"Reliving the samba dream In football, as in life, the past is always so much more rosy than the present. More than eleven years ago, Germany beat Brazil 2-1 in Cologne.",1,11
Kiwis earn draw in Auckland AUCKLAND: New Zealand produced a superb fight back to hold Australia to a 16-16 draw in the opening game of the Tri-Nations series in Auckland.,1,12
Not all QB questions answered Matt Gutierrez will start at quarterback for the University of Michigan on Saturday against Miami (Ohio). It #39;s right up there with  quot;dog bites man quot; on the surprise scale.,1,13
"'Truly' takes San Gabriel Truly a Judge edged Star Cross by a length yesterday in Arcadia, Calif., to win the \$150,000 San Gabriel Handicap at Santa Anita Park.",1,14
"Texas Christian Beats No. 13 MSU 80-75 (AP) AP - Sandora Irvin had 23 points and 17 rebounds and Texas Christian upset a ranked team for the second night in a row, beating No. 13 Michigan State 80-75 Sunday in the championship game of the Rainbow Wahine Classic.",1,15
"Woods #39; lavish 1.5m wedding to model HE HAS always put his career first, listening to his fathers advice not to marry because a wife would only get in the way of his golf.",1,16
"Life of Reilly: Athens style Forget democracy, sport and Grecian Formula 16. There #39;s so much more we need to steal from the Greeks -- immediately and maybe sooner. Cheese pies, for instance. Our No. 1 priority should be getting these cheese pies. Lovely, flakey pastries with the ...",1,17
World Prize Still Within Henry #39;s Grasp Thierry Henry might find some consolation in the fact that the European Player of the Year has gone on to be crowned the worlds best only once in the last four years.,1,18
"Hungarian weightlifter stripped of silver, Puerto Rican wrestler &lt;b&gt;...&lt;/b&gt; Hungarian weightlifter Ferenc Gyurkovics was stripped of his silver medal and kicked out of the Olympics on Saturday for using steroids.",1,19
"Woods's 17 pace Raptors victory Loren Woods had 17 points and a career-high 14 rebounds, and Vince Carter scored 7 of 12 points in the final three minutes to help the Raptors improve to 2-0 with a 101-89 victory over the Detroit Pistons last night in Toronto. Chris Bosh led a balanced Toronto attack with 18 points. Six Raptors players reached double figures. Richard Hamilton ...",1,20
SuperSonics Stay Atop Northwest Division (AP) AP - Nate McMillan looks at the standings of the new Northwest Division and sees something a little odd  #151; the SuperSonics are in first place.,1,21
"Athletics Hold Ichiro in Check, Move Back Into First Ichiro Suzuki went home without the major league hits record, thanks to Oakland's determined pitching staff -- and a much bigger hit by Bobby Crosby.",1,22
"Robiskie Picks Up  #39;Interim #39; Tag Once Again Terry Robiskie is growing accustomed to inheriting someone else #39;s team and someone else #39;s problems late in a wildly disappointing season, with little or no hope of turning things around and virtually ",1,23
SI.com TORONTO (Ticker) -- Seattle Mariners pitcher Cha Seung Baek will not have many fond memories of his first major league start. Baek gave up six runs in the second inning and did not make it out of the third ,1,24
Randall's Late TD Pass Lifts No. 18 LSU (AP) AP - Marcus Randall threw a 30-yard touchdown pass to David Jones with 2:18 left to give No. 18 LSU a come-from-behind 24-20 victory over Troy on Saturday night.,1,25
"Czech rider Hurikova wins first gold medal at cycling worlds BARDOLINO, Italy (CP) - Tereza Hurikova of the Czech Republic won the junior time trial to take home the first gold medal and rainbow jersey of the world road cycling championships Monday.",1,26
Moss questionable for Sunday The Jets announced on Wednesday that wide receiver/punt returner Santana Moss is questionable for Sunday #39;s game against the San Francisco 49ers.,1,27
"Philadelphia 76ers Team Report - November 17 (Sports Network) - The 76ers saw a three-game win streak come to an end on Tuesday night, falling 103-95 to the Seattle SuperSonics at the Wachovia Center.",1,28
"Woods back in familiar spot After 4 straight birdies on his way to a 5-under-par 65 at East Lake in Atlanta, the former No. 1 player in the world was introduced Saturday as one of the 54-hole leaders in the Tour Championship.",1,29
Barcelona defeats Zaragoza 4-1 Cameroon #39;s Samuel Eto #39;o struck twice to rally Barcelona to a 4-1 victory over Zaragoza and climbed to second place in the Spanish standings after four rounds.,1,30
"Youhana steers Pakistan to victory over India BIRMINGHAM, England (CMC) - Yousuf Youhana stroked an unbeaten half-century and helped Pakistan into the ICC Champions Trophy semi-finals with an edgy three-wicket win over India at Edgbaston yesterday.",1,31
"Earthquakes Lead Wizards 1-0 in Series San Jose Earthquakes #39; Dwayne De Rosario celebrates after scoring against the Kansas City Wizards in the first half, during the first game of the Western Conference playoffs in San Jose, Calif.",1,32
